nutrition,measure,food_product,value
"Fiber, total dietary",G,Scotch,0.0
"Fiber, total dietary",G,Seed,0.14285714285714285
"Fiber, total dietary",G,Semolina,0.07142857142857142
"Fiber, total dietary",G,Sesame,0.03571428571428571
"Fiber, total dietary",G,Sesame Oil,0.0
"Fiber, total dietary",G,Shallot,0.10714285714285714
"Fiber, total dietary",G,Shellfish,0.0
"Fiber, total dietary",G,Sherry,0.0
"Fiber, total dietary",G,Shrimp,0.0
"Fiber, total dietary",G,Snapper,0.0
"Fiber, total dietary",G,Sorbet,0.0
"Fiber, total dietary",G,Sour Cream,0.0
"Fiber, total dietary",G,Sourdough,0.07142857142857142
"Fiber, total dietary",G,Soy,0.10714285714285714
"Fiber, total dietary",G,Soy Sauce,0.0
"Fiber, total dietary",G,Sparkling Wine,0.0
"Fiber, total dietary",G,Spice,0.5
"Fiber, total dietary",G,Spinach,0.07142857142857142
"Fiber, total dietary",G,Squash,0.03571428571428571
"Fiber, total dietary",G,Squid,0.0
"Fiber, total dietary",G,Steak,0.0
"Fiber, total dietary",G,Strawberry,0.35714285714285715
"Fiber, total dietary",G,Sugar Snap Pea,0.07142857142857142
"Fiber, total dietary",G,Swiss Cheese,0.0
"Fiber, total dietary",G,Swordfish,0.0
"Fiber, total dietary",G,Tamarind,0.17857142857142858
"Fiber, total dietary",G,Tequila,0.0
"Fiber, total dietary",G,Tilapia,0.0
"Fiber, total dietary",G,Tomatillo,0.03571428571428571
"Fiber, total dietary",G,Tortillas,0.07142857142857142
"Fiber, total dietary",G,Tropical Fruit,0.03571428571428571
"Fiber, total dietary",G,Trout,0.0
"Fiber, total dietary",G,Tuna,0.0
"Fiber, total dietary",G,Turnip,0.07142857142857142
"Fiber, total dietary",G,Vanilla,0.0
"Fiber, total dietary",G,Veal,0.0
"Fiber, total dietary",G,Vegetable,0.03571428571428571
"Fiber, total dietary",G,Venison,0.0
"Fiber, total dietary",G,Vinegar,0.0
"Fiber, total dietary",G,Vodka,0.0
"Fiber, total dietary",G,Walnut,0.21428571428571427
"Fiber, total dietary",G,Wasabi,0.21428571428571427
"Fiber, total dietary",G,Watercress,0.0
"Fiber, total dietary",G,Watermelon,0.0
"Fiber, total dietary",G,Wedding,0.0
"Fiber, total dietary",G,Whiskey,0.0
"Fiber, total dietary",G,White Wine,0.0
"Fiber, total dietary",G,Whole Wheat,0.10714285714285714
"Fiber, total dietary",G,Wild Rice,0.14285714285714285
"Fiber, total dietary",G,Wine,0.0
"Fiber, total dietary",G,Wok,0.0
"Fiber, total dietary",G,Yellow Squash,0.07142857142857142
"Fiber, total dietary",G,Yogurt,0.0
"Fiber, total dietary",G,Yuca,0.0
"Fiber, total dietary",G,Zucchini,0.03571428571428571
"Calcium, Ca",MG,Almond,0.26692307692307693
"Calcium, Ca",MG,Amaretto,0.0
"Calcium, Ca",MG,Anchovy,0.17846153846153845
"Calcium, Ca",MG,Anise,0.4969230769230769
"Calcium, Ca",MG,Apple,0.0
"Calcium, Ca",MG,Apple Juice,0.0
"Calcium, Ca",MG,Artichoke,0.0
"Calcium, Ca",MG,Arugula,0.13538461538461538
"Calcium, Ca",MG,Asian Pear,0.003076923076923077
"Calcium, Ca",MG,Asparagus,0.018461538461538463
"Calcium, Ca",MG,Avocado,0.026153846153846153
"Calcium, Ca",MG,Bacon,0.0
"Calcium, Ca",MG,Banana,0.09615384615384616
"Calcium, Ca",MG,Barley,0.008461538461538461
"Calcium, Ca",MG,Bass,0.016923076923076923
"Calcium, Ca",MG,Bean,0.02
"Calcium, Ca",MG,Beef,0.0
"Calcium, Ca",MG,Beef Rib,0.011538461538461539
"Calcium, Ca",MG,Beef Shank,0.015384615384615385
"Calcium, Ca",MG,Beef Tenderloin,0.0
"Calcium, Ca",MG,Beer,0.003076923076923077
"Calcium, Ca",MG,Beet,0.008461538461538461
"Calcium, Ca",MG,Bell Pepper,0.005384615384615384
"Calcium, Ca",MG,Berry,0.007692307692307693
"Calcium, Ca",MG,Bitters,0.006923076923076923
"Calcium, Ca",MG,Blackberry,0.0015384615384615385
"Calcium, Ca",MG,Blue Cheese,0.4123076923076923
"Calcium, Ca",MG,Bok Choy,0.08153846153846153
"Calcium, Ca",MG,Bran,0.07307692307692308
"Calcium, Ca",MG,Brandy,0.0
"Calcium, Ca",MG,Bread,0.018461538461538463
"Calcium, Ca",MG,Breadcrumbs,0.0
"Calcium, Ca",MG,Brie,269.2307692307692
"Calcium, Ca",MG,Brine,0.01769230769230769
"Calcium, Ca",MG,Brisket,0.007692307692307693
"Calcium, Ca",MG,Broccoli,0.031538461538461536
"Calcium, Ca",MG,Broccoli Rabe,0.06153846153846154
"Calcium, Ca",MG,Brown Rice,0.036153846153846154
"Calcium, Ca",MG,Brussel Sprout,0.03230769230769231
"Calcium, Ca",MG,Buffalo,0.823076923076923
"Calcium, Ca",MG,Bulgur,0.03461538461538462
"Calcium, Ca",MG,Buttermilk,0.09615384615384616
"Calcium, Ca",MG,Butternut Squash,0.036153846153846154
"Calcium, Ca",MG,Cabbage,0.025384615384615384
"Calcium, Ca",MG,Cake,0.018461538461538463
"Calcium, Ca",MG,Calvados,0.0
"Calcium, Ca",MG,Candy Thermometer,0.16384615384615384
"Calcium, Ca",MG,Cantaloupe,0.011538461538461539
"Calcium, Ca",MG,Caraway,0.5176923076923077
"Calcium, Ca",MG,Carrot,0.025384615384615384
"Calcium, Ca",MG,Cashew,0.0
"Calcium, Ca",MG,Cauliflower,0.0
"Calcium, Ca",MG,Celery,0.027692307692307693
"Calcium, Ca",MG,Champagne,0.006153846153846154
"Calcium, Ca",MG,Chard,0.04153846153846154
"Calcium, Ca",MG,Chartreuse,0.0
"Calcium, Ca",MG,Cheddar,0.2561538461538462
"Calcium, Ca",MG,Cheese,0.3869230769230769
"Calcium, Ca",MG,Cherry,0.03076923076923077
"Calcium, Ca",MG,Chestnut,0.0
"Calcium, Ca",MG,Chicken,0.0
"Calcium, Ca",MG,Chickpea,0.07692307692307693
"Calcium, Ca",MG,Chile,0.16307692307692306
"Calcium, Ca",MG,Chile Pepper,0.03461538461538462
"Calcium, Ca",MG,Chili,0.013076923076923076
"Calcium, Ca",MG,Chill,0.008461538461538461
"Calcium, Ca",MG,Chive,0.07076923076923076
"Calcium, Ca",MG,Chocolate,0.04384615384615385
"Calcium, Ca",MG,Citrus,0.006153846153846154
"Calcium, Ca",MG,Clam,0.03307692307692308
"Calcium, Ca",MG,Clove,0.48615384615384616
"Calcium, Ca",MG,Coconut,0.0
"Calcium, Ca",MG,Cod,0.0
"Calcium, Ca",MG,Collard Greens,0.09076923076923077
"Calcium, Ca",MG,Coriander,0.5453846153846154
"Calcium, Ca",MG,Corn,0.013076923076923076
"Calcium, Ca",MG,Cornmeal,0.0
"Calcium, Ca",MG,Cottage Cheese,0.09769230769230769
"Calcium, Ca",MG,Couscous,0.025384615384615384
"Calcium, Ca",MG,Crab,0.07
"Calcium, Ca",MG,Cranberry Sauce,0.002307692307692308
"Calcium, Ca",MG,Cream Cheese,0.054615384615384614
"Calcium, Ca",MG,Cucumber,0.010769230769230769
"Calcium, Ca",MG,Cumin,0.7161538461538461
"Calcium, Ca",MG,Currant,0.06769230769230769
"Calcium, Ca",MG,Date,0.03
"Calcium, Ca",MG,Dill,0.04153846153846154
"Calcium, Ca",MG,Dried Fruit,0.03
"Calcium, Ca",MG,Duck,0.008461538461538461
"Calcium, Ca",MG,Eau De Vie,0.1930769230769231
"Calcium, Ca",MG,Egg,0.026923076923076925
"Calcium, Ca",MG,Eggplant,0.07461538461538461
"Calcium, Ca",MG,Endive,0.04
"Calcium, Ca",MG,Escarole,0.036153846153846154
"Calcium, Ca",MG,Fennel,0.043076923076923075
"Calcium, Ca",MG,Fig,0.011538461538461539
"Calcium, Ca",MG,Fish,0.012307692307692308
"Calcium, Ca",MG,Fontina,0.4230769230769231
"Calcium, Ca",MG,Frangelico,0.008461538461538461
"Calcium, Ca",MG,Fruit Juice,0.006153846153846154
"Calcium, Ca",MG,Garlic,0.5130769230769231
"Calcium, Ca",MG,Gin,0.0
"Calcium, Ca",MG,Goat Cheese,0.5492307692307692
"Calcium, Ca",MG,Goose,0.0
"Calcium, Ca",MG,Gouda,0.5492307692307692
"Calcium, Ca",MG,Grains,0.018461538461538463
"Calcium, Ca",MG,Grand Marnier,0.009230769230769232
"Calcium, Ca",MG,Grapefruit,0.016923076923076923
"Calcium, Ca",MG,Green Bean,0.013076923076923076
"Calcium, Ca",MG,Ground Beef,0.0
"Calcium, Ca",MG,Ground Lamb,0.0
"Calcium, Ca",MG,Guava,0.015384615384615385
"Calcium, Ca",MG,Halibut,0.018461538461538463
"Calcium, Ca",MG,Ham,0.006153846153846154
"Calcium, Ca",MG,Hamburger,0.07153846153846154
"Calcium, Ca",MG,Hazelnut,0.1123076923076923
"Calcium, Ca",MG,Herb,0.0015384615384615385
"Calcium, Ca",MG,Honey,0.004615384615384616
"Calcium, Ca",MG,Honeydew,0.004615384615384616
"Calcium, Ca",MG,Horseradish,0.043076923076923075
"Calcium, Ca",MG,Hot Pepper,0.4123076923076923
"Calcium, Ca",MG,Ice Cream,0.09461538461538462
"Calcium, Ca",MG,Jerusalem Artichoke,0.010769230769230769
"Calcium, Ca",MG,Kale,0.10230769230769231
"Calcium, Ca",MG,Kirsch,0.0
"Calcium, Ca",MG,Kiwi,0.05153846153846154
"Calcium, Ca",MG,Kumquat,0.047692307692307694
"Calcium, Ca",MG,Lamb,0.015384615384615385
"Calcium, Ca",MG,Lamb Chop,0.015384615384615385
"Calcium, Ca",MG,Lamb Shank,0.005384615384615384
"Calcium, Ca",MG,Lasagna,0.13538461538461538
"Calcium, Ca",MG,Leafy Green,0.023846153846153847
"Calcium, Ca",MG,Leek,0.047692307692307694
"Calcium, Ca",MG,Legume,0.054615384615384614
"Calcium, Ca",MG,Lemon,0.0
"Calcium, Ca",MG,Lemongrass,0.01769230769230769
"Calcium, Ca",MG,Lentil,0.019230769230769232
"Calcium, Ca",MG,Lettuce,0.02076923076923077
"Calcium, Ca",MG,Lima Bean,0.012307692307692308
"Calcium, Ca",MG,Lime,0.031538461538461536
"Calcium, Ca",MG,Lime Juice,0.010769230769230769
"Calcium, Ca",MG,Liqueur,0.0
"Calcium, Ca",MG,Lobster,0.08153846153846153
"Calcium, Ca",MG,Lychee,0.0038461538461538464
"Calcium, Ca",MG,Macadamia Nut,0.06538461538461539
"Calcium, Ca",MG,Mango,0.010769230769230769
"Calcium, Ca",MG,Maple Syrup,0.07692307692307693
"Calcium, Ca",MG,Margarita,0.0015384615384615385
"Calcium, Ca",MG,Marsala,0.0
"Calcium, Ca",MG,Mayonnaise,0.0
"Calcium, Ca",MG,Meat,0.013846153846153847
"Calcium, Ca",MG,Meatball,0.047692307692307694
"Calcium, Ca",MG,Melon,0.01
"Calcium, Ca",MG,Mezcal,0.0
"Calcium, Ca",MG,Molasses,0.1576923076923077
"Calcium, Ca",MG,Monterey Jack,0.5130769230769231
"Calcium, Ca",MG,Mozzarella,0.4123076923076923
"Calcium, Ca",MG,Muffin,0.06076923076923077
"Calcium, Ca",MG,Mussel,0.025384615384615384
"Calcium, Ca",MG,Mustard,0.04846153846153846
"Calcium, Ca",MG,Mustard Greens,0.08153846153846153
"Calcium, Ca",MG,Nectarine,0.0015384615384615385
"Calcium, Ca",MG,Nut,0.02846153846153846
"Calcium, Ca",MG,Nutmeg,0.0
"Calcium, Ca",MG,Oat,0.04
"Calcium, Ca",MG,Oatmeal,0.2561538461538462
"Calcium, Ca",MG,Octopus,0.04230769230769231
"Calcium, Ca",MG,Okra,0.06153846153846154
"Calcium, Ca",MG,Olive,0.046153846153846156
"Calcium, Ca",MG,Onion,0.012307692307692308
"Calcium, Ca",MG,Orange Juice,0.006923076923076923
"Calcium, Ca",MG,Organic,0.03923076923076923
"Calcium, Ca",MG,Orzo,0.0
"Calcium, Ca",MG,Oyster,0.07384615384615385
"Calcium, Ca",MG,Papaya,0.11538461538461539
"Calcium, Ca",MG,Paprika,0.20076923076923076
"Calcium, Ca",MG,Parmesan,0.6561538461538462
"Calcium, Ca",MG,Parsnip,0.027692307692307693
"Calcium, Ca",MG,Party,0.054615384615384614
"Calcium, Ca",MG,Passion Fruit,0.0
"Calcium, Ca",MG,Pasta,0.02923076923076923
"Calcium, Ca",MG,Pea,0.09461538461538462
"Calcium, Ca",MG,Peach,0.016923076923076923
"Calcium, Ca",MG,Peanut Butter,0.03769230769230769
"Calcium, Ca",MG,Pear,0.006923076923076923
"Calcium, Ca",MG,Pecan,0.05384615384615385
"Calcium, Ca",MG,Pepper,0.33615384615384614
"Calcium, Ca",MG,Pernod,0.1576923076923077
"Calcium, Ca",MG,Persimmon,0.016923076923076923
"Calcium, Ca",MG,Pine Nut,0.012307692307692308
"Calcium, Ca",MG,Pineapple,0.027692307692307693
"Calcium, Ca",MG,Pistachio,0.10230769230769231
"Calcium, Ca",MG,Plantain,0.006923076923076923
"Calcium, Ca",MG,Plum,0.0038461538461538464
"Calcium, Ca",MG,Pomegranate,0.006153846153846154
"Calcium, Ca",MG,Pomegranate Juice,0.03230769230769231
"Calcium, Ca",MG,Poppy,0.045384615384615384
"Calcium, Ca",MG,Pork,0.0
"Calcium, Ca",MG,Pork Chop,0.011538461538461539
"Calcium, Ca",MG,Pork Rib,0.03230769230769231
"Calcium, Ca",MG,Port,0.5
"Calcium, Ca",MG,Potato,0.025384615384615384
"Calcium, Ca",MG,Poultry,0.007692307692307693
"Calcium, Ca",MG,Poultry Sausage,0.007692307692307693
"Calcium, Ca",MG,Prosciutto,0.0
"Calcium, Ca",MG,Prune,0.023846153846153847
"Calcium, Ca",MG,Pumpkin,0.025384615384615384
"Calcium, Ca",MG,Punch,0.0
"Calcium, Ca",MG,Quail,0.011538461538461539
"Calcium, Ca",MG,Quince,0.008461538461538461
"Calcium, Ca",MG,Quinoa,0.010769230769230769
"Calcium, Ca",MG,Rabbit,0.015384615384615385
"Calcium, Ca",MG,Rack Of Lamb,0.006153846153846154
"Calcium, Ca",MG,Radicchio,0.015384615384615385
"Calcium, Ca",MG,Radish,0.019230769230769232
"Calcium, Ca",MG,Raisin,0.026153846153846153
"Calcium, Ca",MG,Raspberry,0.0
"Calcium, Ca",MG,Red Wine,0.006153846153846154
"Calcium, Ca",MG,Rhubarb,0.05615384615384615
"Calcium, Ca",MG,Rice,0.0
"Calcium, Ca",MG,Ricotta,0.19076923076923077
"Calcium, Ca",MG,Roast,0.011538461538461539
"Calcium, Ca",MG,Root Vegetable,0.031538461538461536
"Calcium, Ca",MG,Rum,0.0
"Calcium, Ca",MG,Rutabaga,0.03076923076923077
"Calcium, Ca",MG,Rye,0.05384615384615385
"Calcium, Ca",MG,Saffron,0.08538461538461538
"Calcium, Ca",MG,Sake,0.0038461538461538464
"Calcium, Ca",MG,Salmon,0.010769230769230769
"Calcium, Ca",MG,Sardine,0.2353846153846154
"Calcium, Ca",MG,Sausage,0.02076923076923077
"Calcium, Ca",MG,Scallop,0.014615384615384615
"Calcium, Ca",MG,Scotch,0.0
"Calcium, Ca",MG,Seed,0.04692307692307692
"Calcium, Ca",MG,Semolina,0.0
"Calcium, Ca",MG,Sesame,0.014615384615384615
"Calcium, Ca",MG,Sesame Oil,0.0
"Calcium, Ca",MG,Shallot,0.02846153846153846
"Calcium, Ca",MG,Shellfish,0.04923076923076923
"Calcium, Ca",MG,Shrimp,0.054615384615384614
"Calcium, Ca",MG,Snapper,0.024615384615384615
"Calcium, Ca",MG,Sorbet,0.002307692307692308
"Calcium, Ca",MG,Sour Cream,0.05153846153846154
"Calcium, Ca",MG,Sourdough,0.052307692307692305
"Calcium, Ca",MG,Soy,0.13153846153846155
"Calcium, Ca",MG,Soy Sauce,0.025384615384615384
"Calcium, Ca",MG,Sparkling Wine,0.0038461538461538464
"Calcium, Ca",MG,Spice,0.5246153846153846
"Calcium, Ca",MG,Spinach,0.07615384615384616
"Calcium, Ca",MG,Squash,0.016153846153846154
"Calcium, Ca",MG,Squid,0.05615384615384615
"Calcium, Ca",MG,Steak,0.0
"Calcium, Ca",MG,Strawberry,0.05153846153846154
"Calcium, Ca",MG,Sugar Snap Pea,0.036153846153846154
"Calcium, Ca",MG,Swiss Cheese,0.6692307692307692
"Calcium, Ca",MG,Swordfish,0.011538461538461539
"Calcium, Ca",MG,Tamarind,0.05692307692307692
"Calcium, Ca",MG,Tequila,0.0
"Calcium, Ca",MG,Tilapia,0.013846153846153847
"Calcium, Ca",MG,Tomatillo,0.005384615384615384
"Calcium, Ca",MG,Tortillas,0.03769230769230769
"Calcium, Ca",MG,Tropical Fruit,0.0
"Calcium, Ca",MG,Trout,0.026153846153846153
"Calcium, Ca",MG,Tuna,0.02923076923076923
"Calcium, Ca",MG,Turnip,0.0876923076923077
"Calcium, Ca",MG,Vanilla,0.09
"Calcium, Ca",MG,Veal,0.007692307692307693
"Calcium, Ca",MG,Vegetable,0.021538461538461538
"Calcium, Ca",MG,Venison,0.016153846153846154
"Calcium, Ca",MG,Vinegar,0.005384615384615384
"Calcium, Ca",MG,Vodka,0.0
"Calcium, Ca",MG,Walnut,0.15923076923076923
"Calcium, Ca",MG,Wasabi,0.031538461538461536
"Calcium, Ca",MG,Watercress,0.09615384615384616
"Calcium, Ca",MG,Wedding,0.02846153846153846
"Calcium, Ca",MG,Whiskey,0.0
"Calcium, Ca",MG,White Wine,0.006923076923076923
"Calcium, Ca",MG,Whole Wheat,0.3
"Calcium, Ca",MG,Wild Rice,0.0
"Calcium, Ca",MG,Wine,0.0038461538461538464
"Calcium, Ca",MG,Wok,0.0
"Calcium, Ca",MG,Yellow Squash,0.015384615384615385
"Calcium, Ca",MG,Yogurt,0.09076923076923077
"Calcium, Ca",MG,Yuca,0.0
"Calcium, Ca",MG,Zucchini,0.016153846153846154
"Iron, Fe",MG,Almond,0.16666666666666666
"Iron, Fe",MG,Amaretto,0.0
"Iron, Fe",MG,Anchovy,0.2222222222222222
"Iron, Fe",MG,Anise,2.0555555555555554
"Iron, Fe",MG,Apple,0.0
"Iron, Fe",MG,Apple Juice,0.0
"Iron, Fe",MG,Artichoke,0.0
"Iron, Fe",MG,Arugula,0.05555555555555555
"Iron, Fe",MG,Asian Pear,0.0
"Iron, Fe",MG,Asparagus,0.1111111111111111
"Iron, Fe",MG,Avocado,0.0
"Iron, Fe",MG,Bacon,0.0
"Iron, Fe",MG,Banana,0.05555555555555555
"Iron, Fe",MG,Barley,0.05555555555555555
"Iron, Fe",MG,Bass,0.05555555555555555
"Iron, Fe",MG,Bean,0.05555555555555555
"Iron, Fe",MG,Beef,0.2222222222222222
"Iron, Fe",MG,Beef Rib,0.05555555555555555
"Iron, Fe",MG,Beef Shank,0.1111111111111111
"Iron, Fe",MG,Beef Tenderloin,0.1111111111111111
"Iron, Fe",MG,Beer,0.0
"Iron, Fe",MG,Beet,0.0
"Iron, Fe",MG,Bell Pepper,0.0
"Iron, Fe",MG,Berry,0.0
"Iron, Fe",MG,Bitters,0.0
"Iron, Fe",MG,Blackberry,2.3333333333333335
"Iron, Fe",MG,Blue Cheese,0.0
"Iron, Fe",MG,Bok Choy,0.0
"Iron, Fe",MG,Bran,0.16666666666666666
"Iron, Fe",MG,Brandy,0.0
"Iron, Fe",MG,Bread,0.1111111111111111
"Iron, Fe",MG,Breadcrumbs,0.0
"Iron, Fe",MG,Brie,0.16666666666666666
"Iron, Fe",MG,Brine,0.2222222222222222
"Iron, Fe",MG,Brisket,0.1111111111111111
"Iron, Fe",MG,Broccoli,0.0
"Iron, Fe",MG,Broccoli Rabe,0.05555555555555555
"Iron, Fe",MG,Brown Rice,0.05555555555555555
"Iron, Fe",MG,Brussel Sprout,0.05555555555555555
"Iron, Fe",MG,Buffalo,0.0
"Iron, Fe",MG,Bulgur,0.05555555555555555
"Iron, Fe",MG,Buttermilk,0.0
"Iron, Fe",MG,Butternut Squash,0.0
"Iron, Fe",MG,Cabbage,0.1111111111111111
"Iron, Fe",MG,Cake,0.05555555555555555
"Iron, Fe",MG,Calvados,0.0
"Iron, Fe",MG,Candy Thermometer,0.05555555555555555
"Iron, Fe",MG,Cantaloupe,0.0
"Iron, Fe",MG,Caraway,0.0
"Iron, Fe",MG,Carrot,0.0
"Iron, Fe",MG,Cashew,0.05555555555555555
"Iron, Fe",MG,Cauliflower,0.0
"Iron, Fe",MG,Celery,0.0
"Iron, Fe",MG,Champagne,0.0
"Iron, Fe",MG,Chard,0.05555555555555555
"Iron, Fe",MG,Chartreuse,0.0
"Iron, Fe",MG,Cheddar,0.0
"Iron, Fe",MG,Cheese,0.0
"Iron, Fe",MG,Cherry,0.05555555555555555
"Iron, Fe",MG,Chestnut,0.0
"Iron, Fe",MG,Chicken,0.0
"Iron, Fe",MG,Chickpea,0.3333333333333333
"Iron, Fe",MG,Chile,0.0
"Iron, Fe",MG,Chile Pepper,0.3333333333333333
"Iron, Fe",MG,Chili,0.0
"Iron, Fe",MG,Chill,0.0
"Iron, Fe",MG,Chive,0.05555555555555555
"Iron, Fe",MG,Chocolate,0.5555555555555556
"Iron, Fe",MG,Citrus,0.0
"Iron, Fe",MG,Clam,0.05555555555555555
"Iron, Fe",MG,Clove,0.6111111111111112
"Iron, Fe",MG,Coconut,0.05555555555555555
"Iron, Fe",MG,Cod,0.0
"Iron, Fe",MG,Collard Greens,0.0
"Iron, Fe",MG,Coriander,0.8888888888888888
"Iron, Fe",MG,Corn,0.0
"Iron, Fe",MG,Cornmeal,0.0
"Iron, Fe",MG,Cottage Cheese,0.0
"Iron, Fe",MG,Couscous,0.1111111111111111
"Iron, Fe",MG,Crab,0.0
"Iron, Fe",MG,Cranberry,0.0
"Iron, Fe",MG,Cranberry Sauce,0.0
"Iron, Fe",MG,Cream Cheese,0.0
"Iron, Fe",MG,Cucumber,0.0
"Iron, Fe",MG,Cumin,3.6666666666666665
"Iron, Fe",MG,Currant,0.05555555555555555
"Iron, Fe",MG,Date,0.05555555555555555
"Iron, Fe",MG,Dill,0.0
"Iron, Fe",MG,Dried Fruit,0.05555555555555555
"Iron, Fe",MG,Duck,0.0
"Iron, Fe",MG,Eau De Vie,0.0
"Iron, Fe",MG,Egg,0.05555555555555555
"Iron, Fe",MG,Eggplant,0.1111111111111111
"Iron, Fe",MG,Endive,0.0
"Iron, Fe",MG,Fennel,0.0
"Iron, Fe",MG,Fig,0.0
"Iron, Fe",MG,Fish,0.0
"Iron, Fe",MG,Fontina,0.0
"Iron, Fe",MG,Frangelico,0.0
"Iron, Fe",MG,Fruit Juice,0.0
"Iron, Fe",MG,Gin,0.0
"Iron, Fe",MG,Goat Cheese,0.0
"Iron, Fe",MG,Goose,0.0
"Iron, Fe",MG,Gouda,0.0
"Iron, Fe",MG,Grains,0.1111111111111111
"Iron, Fe",MG,Grand Marnier,0.0
"Iron, Fe",MG,Green Bean,0.0
"Iron, Fe",MG,Ground Beef,0.1111111111111111
"Iron, Fe",MG,Ground Lamb,0.05555555555555555
"Iron, Fe",MG,Guava,0.0
"Iron, Fe",MG,Halibut,0.05555555555555555
"Iron, Fe",MG,Ham,0.0
"Iron, Fe",MG,Hamburger,0.1111111111111111
"Iron, Fe",MG,Hazelnut,0.2222222222222222
"Iron, Fe",MG,Herb,0.0
"Iron, Fe",MG,Honey,0.0
"Iron, Fe",MG,Honeydew,0.0
"Iron, Fe",MG,Horseradish,0.0
"Iron, Fe",MG,Hot Pepper,0.0
"Iron, Fe",MG,Ice Cream,0.0
"Iron, Fe",MG,Jerusalem Artichoke,0.16666666666666666
"Iron, Fe",MG,Kale,0.05555555555555555
"Iron, Fe",MG,Kirsch,0.0
"Iron, Fe",MG,Kiwi,0.05555555555555555
"Iron, Fe",MG,Kumquat,0.0
"Iron, Fe",MG,Lamb,0.05555555555555555
"Iron, Fe",MG,Lamb Chop,0.05555555555555555
"Iron, Fe",MG,Lamb Shank,0.05555555555555555
"Iron, Fe",MG,Lasagna,0.05555555555555555
"Iron, Fe",MG,Leafy Green,0.0
"Iron, Fe",MG,Leek,0.1111111111111111
"Iron, Fe",MG,Legume,0.4444444444444444
"Iron, Fe",MG,Lemon,0.0
"Iron, Fe",MG,Lemongrass,0.0
"Iron, Fe",MG,Lentil,0.05555555555555555
"Iron, Fe",MG,Lettuce,0.0
"Iron, Fe",MG,Lima Bean,0.1111111111111111
"Iron, Fe",MG,Lime,0.05555555555555555
"Iron, Fe",MG,Lime Juice,0.0
"Iron, Fe",MG,Liqueur,0.0
"Iron, Fe",MG,Lobster,0.0
"Iron, Fe",MG,Lychee,0.0
"Iron, Fe",MG,Macadamia Nut,0.16666666666666666
"Iron, Fe",MG,Mango,0.05555555555555555
"Iron, Fe",MG,Maple Syrup,0.05555555555555555
"Iron, Fe",MG,Margarita,0.0
"Iron, Fe",MG,Marsala,0.0
"Iron, Fe",MG,Mayonnaise,0.0
"Iron, Fe",MG,Meat,0.0
"Iron, Fe",MG,Meatball,0.1111111111111111
"Iron, Fe",MG,Melon,0.05555555555555555
"Iron, Fe",MG,Mezcal,0.0
"Iron, Fe",MG,Molasses,0.2222222222222222
"Iron, Fe",MG,Monterey Jack,0.0
"Iron, Fe",MG,Mozzarella,0.0
"Iron, Fe",MG,Muffin,0.05555555555555555
"Iron, Fe",MG,Mussel,0.2777777777777778
"Iron, Fe",MG,Mustard,0.05555555555555555
"Iron, Fe",MG,Mustard Greens,0.05555555555555555
"Iron, Fe",MG,Nectarine,0.0
"Iron, Fe",MG,Nut,0.3333333333333333
"Iron, Fe",MG,Nutmeg,0.0
"Iron, Fe",MG,Oat,0.2222222222222222
"Iron, Fe",MG,Oatmeal,1.3333333333333333
"Iron, Fe",MG,Octopus,0.2222222222222222
"Iron, Fe",MG,Okra,0.0
"Iron, Fe",MG,Olive,0.16666666666666666
"Iron, Fe",MG,Onion,0.16666666666666666
"Iron, Fe",MG,Organic,0.05555555555555555
"Iron, Fe",MG,Orzo,0.16666666666666666
"Iron, Fe",MG,Oyster,0.1111111111111111
"Iron, Fe",MG,Papaya,0.0
"Iron, Fe",MG,Paprika,0.7222222222222222
"Iron, Fe",MG,Parmesan,0.0
"Iron, Fe",MG,Parsnip,0.0
"Iron, Fe",MG,Party,0.05555555555555555
"Iron, Fe",MG,Passion Fruit,0.05555555555555555
"Iron, Fe",MG,Pasta,0.2777777777777778
"Iron, Fe",MG,Pea,0.16666666666666666
"Iron, Fe",MG,Peach,0.05555555555555555
"Iron, Fe",MG,Peanut Butter,0.05555555555555555
"Iron, Fe",MG,Pear,0.0
"Iron, Fe",MG,Pecan,0.1111111111111111
"Iron, Fe",MG,Pepper,1.5555555555555556
"Iron, Fe",MG,Pernod,0.16666666666666666
"Iron, Fe",MG,Persimmon,0.0
"Iron, Fe",MG,Pickles,0.1111111111111111
"Iron, Fe",MG,Pine Nut,0.2777777777777778
"Iron, Fe",MG,Pineapple,0.0
"Iron, Fe",MG,Pistachio,0.2222222222222222
"Iron, Fe",MG,Plantain,0.0
"Iron, Fe",MG,Plum,0.0
"Iron, Fe",MG,Pomegranate Juice,0.0
"Iron, Fe",MG,Poppy,0.0
"Iron, Fe",MG,Pork,0.05555555555555555
"Iron, Fe",MG,Pork Chop,0.0
"Iron, Fe",MG,Pork Rib,0.0
"Iron, Fe",MG,Port,0.0
"Iron, Fe",MG,Potato,0.0
"Iron, Fe",MG,Poultry,0.0
"Iron, Fe",MG,Poultry Sausage,0.0
"Iron, Fe",MG,Prosciutto,0.05555555555555555
"Iron, Fe",MG,Prune,0.1111111111111111
"Iron, Fe",MG,Pumpkin,0.0
"Iron, Fe",MG,Punch,0.0
"Iron, Fe",MG,Quail,0.2222222222222222
"Iron, Fe",MG,Quince,0.0
"Iron, Fe",MG,Quinoa,0.0
"Iron, Fe",MG,Rabbit,0.1111111111111111
